city,alt_name,state,median_yearly_income,median_monthly_income,rent,latitude,longitude
lafayette,"Lafayette, LA",LA,44991,3749,1124,36.0906253,-91.841536
lakecharles,"Lake Charles, LA",LA,44991,3749,1124,30.2240897,-92.0198427
lakecity,North Central FL,FL,47212,3934,1180,30.2265949,-93.2173759
lakeland,"Lakeland, FL",FL,47212,3934,1180,30.1896756,-82.6392899
lancaster,"Lancaster, PA",PA,53115,4426,1327,28.0394654,-81.9498042
lansing,"Lansing, MI",MI,49087,4090,1227,40.03813,-76.3056686
laredo,"Laredo, TX",TX,52576,4381,1314,42.7337712,-84.5553805
lasalle,La Salle Co,CO,59448,4954,1486,27.5060991,-99.5088979
lascruces,"Las Cruces, NM",NM,44968,3747,1124,41.355631,-89.04010647
lasvegas,Las Vegas,NV,52205,4350,1305,32.3140354,-106.7798078
lawrence,"Lawrence, KS",KS,51872,4322,1296,36.1662859,-115.149225
lawton,"Lawton, OK",OK,46235,3852,1155,38.9719384,-95.2359496
lewiston,Lewiston/Clarkston,ME,48804,4067,1220,34.6086854,-98.3903305
lexington,"Lexington, KY",KY,43342,3611,1083,44.100351,-70.2147764
limaohio,Lima/Findlay,OH,48849,4070,1221,38.0464066,-84.4970393
lincoln,"Lincoln, NE",NE,52400,4366,1309,40.742551,-84.1052256
littlerock,Little Rock,AR,41264,3438,1031,40.8000554,-96.6674005
logan,"Logan, UT",UT,59846,4987,1496,34.7464809,-92.2895948
longisland,"Long Island, NY",NY,58687,4890,1467,40.1075089,-89.3768539
losangeles,Los Angeles,CA,61489,5124,1537,40.8517821,-73.09918527
louisville,"Louisville, KY",KY,43342,3611,1083,34.053717,-118.2427266
loz,Lake Of The Ozarks,MO,47764,3980,1194,38.2542376,-85.759407
lubbock,"Lubbock, TX",TX,52576,4381,1314,38.2035967,-92.6266766
lynchburg,"Lynchburg, VA",VA,64792,5399,1619,33.5778631,-101.8551665
macon,Macon/Warner Robins,GA,49342,4111,1233,37.40088,-79.18449229
madison,"Madison, WI",WI,52738,4394,1318,32.8406946,-83.6324022
maine,Maine,ME,48804,4067,1220,43.074761,-89.3837613
mankato,"Mankato, MN",MN,60828,5069,1520,45.709097,-68.8590201
mansfield,"Mansfield, OH",OH,48849,4070,1221,44.1634663,-93.9993505
marshall,Southwest MN,MN,60828,5069,1520,40.75839,-82.5154471
martinsburg,Eastern Panhandle,WV,41576,3464,1039,35.9089643,-92.6312746
masoncity,"Mason City, IA",IA,52716,4393,1317,39.4560761,-77.9637713
mattoon,Mattoon-Charleston,IL,57166,4763,1428,43.1535728,-93.2010367
mcallen,Mcallen/Edinburg,TX,52576,4381,1314,39.4842821,-88.3773279
meadville,"Meadville, PA",PA,53115,4426,1327,26.154573,-98.26072076
medford,Medford-Ashland,NY,58687,4890,1467,41.6414438,-80.1514484
memphis,"Memphis, TN",TN,44621,3718,1115,42.3264181,-122.8718605
mendocino,Mendocino County,CA,61489,5124,1537,35.1490215,-90.0516285
merced,"Merced, CA",CA,61489,5124,1537,39.3176491,-123.4126399
meridian,"Meridian, MS",MS,39464,3288,986,37.3029568,-120.4843269
miami,South Florida,FL,47212,3934,1180,32.376096,-88.68978607
milwaukee,"Milwaukee, WI",WI,52738,4394,1318,25.7742658,-80.1936589
minneapolis,Minneapolis/St Paul,MN,60828,5069,1520,43.0349931,-87.922497
missoula,"Missoula, MT",MT,46766,3897,1169,44.9772995,-93.2654692
mobile,"Mobile, AL",AL,43511,3625,1087,46.879583,-113.921459
modesto,"Modesto, CA",CA,61489,5124,1537,30.6943566,-88.0430541
mohave,Mohave County,AZ,49928,4160,1248,37.6390972,-120.9968782
monroe,"Monroe, LA",LA,44991,3749,1124,35.7218038,-113.8271174
monroemi,"Monroe, MI",MI,49087,4090,1227,38.2722313,-90.1792484
montana,Eastern Montana,MT,46766,3897,1169,33.8884929,-88.4747009
monterey,Monterey Bay,CA,61489,5124,1537,47.3752671,-109.6387579
montgomery,"Montgomery, AL",AL,43511,3625,1087,36.5844165,-121.8667928
morgantown,"Morgantown, WV",WV,41576,3464,1039,32.3669656,-86.3006485
moseslake,"Moses Lake, WA",WA,60294,5024,1507,39.629526,-79.9558968
muncie,Muncie/Anderson,IN,48737,4061,1218,47.1301417,-119.2780771
muskegon,"Muskegon, MI",MI,49087,4090,1227,40.1936683,-85.3865114
